"condicion_id","fase","condicion","criterio","referencias_H_R","evidencia_salida"
"scope","0","Alcance y procesos piloto definidos","Existe un acta de alcance con procesos críticos, responsables y límites del piloto.","H11 · R-ARC-01","Acta de alcance, procesos piloto y responsable de decisión."
"governance","0","Gobierno del dato asignado","Están designados patrocinador, dueño de proceso, custodio del dato y responsabilidades RACI.","H06 · R-GOV-01","RACI aprobado y responsables de registro, corrección, acceso y respuesta."
"baseline","0","Línea base y criterios de aceptación","La situación inicial, los indicadores y la condición para continuar, ajustar o detener están documentados.","H11 · R-ARC-01","Línea base, indicadores, criterio de entrada y criterio de salida."
"budget","0","Recursos preliminares identificados","Se dispone de un rango preliminar de recursos, una alternativa escalable y un responsable para revisar la viabilidad antes del piloto.","H12 · R-FIN-01","Rango preliminar de recursos, responsable y nota de viabilidad; completar el TCO a tres años antes de invertir."
"dataModel","1","Variables y formatos comunes","Hay diccionario de variables, campos obligatorios, identificadores y reglas de validación comunes.","H01 · R-DAT-01","Diccionario de datos y reglas de validación aprobados."
"offlineCapture","1","Captura tolerante a desconexión","La captura prioritaria puede conservar datos localmente, sincronizar después y registrar el estado de transmisión.","H02 · R-IOT-01","Prueba de desconexión, recuperación y transmisión sin pérdida."
"maintenance","1","Mantenimiento, soporte y transferencia","Dispositivos, calibraciones, repuestos, firmware, soporte, escalamiento y transferencia de conocimiento tienen responsables y calendario.","H03 · H15 · R-MNT-01 · R-SUP-01","Inventario, calendario de calibración, SLA, exportación de datos y plan de transferencia o salida."
"securityContinuity","1","Seguridad y continuidad operativa","Hay cuentas individuales, mínimo privilegio, copias, restauración probada y contingencia manual para picos o fallos.","H08 · H09 · R-OPS-01 · R-SEC-01","Matriz de acceso, evidencia de restauración probada y procedimiento de contingencia."
"training","1","Formación, revisión humana y aprendizaje documentado","Los usuarios participan en el diseño, reciben formación por rol, aplican un protocolo de excepciones y registran incidentes, decisiones, cierres y lecciones para la revisión posterior de cada fase.","H07 · H14 · R-CHG-01 · R-LRN-01","Plan de formación, evaluación práctica, protocolo de excepciones y repositorio de incidentes, decisiones y lecciones."
"baseEvents","1","Registros base con identificador persistente","Cada lote conserva un identificador y registra eventos con fecha, actor, ubicación, estado, decisión y excepción.","H04 · R-TRA-01","Historial base por lote con identificador persistente y sello de tiempo."
"repository","2","Repositorio central e intercambio documentado","Los registros válidos se consolidan en un repositorio común con importación y exportación documentadas.","H01 · R-DAT-01","Repositorio central, interfaces documentadas y cola de calidad."
"access","2","Usuarios, permisos y responsables de alerta","Los perfiles de acceso son coherentes y cada alerta tiene responsable y plazo de atención.","H06 · H09 · R-GOV-01 · R-SEC-01","Perfiles de acceso, bitácora y matriz de responsables de alertas."
"dashboards","2","Tableros y reportes internos operativos","Los indicadores, alertas y reportes internos se generan desde el repositorio común y responden a una necesidad operativa de usuarios responsables.","H01 · H06 · R-DAT-01 · R-GOV-01","Tablero interno activo, alertas con responsable y reporte operativo reconstruible desde el repositorio."
"visualCase","3","Necesidad de calidad visual asistida","Existe un caso de uso visual acotado cuya utilidad justifica explorar imágenes; la IA no se activa solo por disponibilidad tecnológica.","H10 · H11 · R-AI-01 · R-ARC-01","Caso de uso, usuario, decisión apoyada y criterio de éxito."
"imageProtocol","3","Protocolo y muestra de imágenes gobernados","Se definieron condiciones de captura, metadatos, etiquetas versionadas y separación de conjuntos para el caso visual.","H10 · R-AI-01","Protocolo de imagen, repositorio con metadatos y etiquetas versionadas."
"humanReview","3","Validación y decisión humana","Están definidos acuerdo entre evaluadores, métricas por clase, umbral de confianza y ruta de revisión humana.","H07 · H10 · R-CHG-01 · R-AI-01","Plan de validación por variedad y protocolo de revisión humana."
"traceabilityNeed","4","Necesidad de trazabilidad ampliada","Existe una necesidad verificable de reconstruir cadena de custodia con terceros, frío, despacho o exigencias de cliente.","H05 · H13 · R-TRA-02 · R-INT-02","Caso de trazabilidad, actores, eventos, consultas y criterio de aceptación."
"custodyIntegration","4","Eventos interoperables con terceros","Transferencias y excepciones usan el identificador común, sello de tiempo, reloj de referencia y estado de sincronización.","H04 · H13 · R-INT-02","API o intercambio de eventos, reglas de conciliación y manejo de excepciones."
"traceReports","4","Reportes externos auditables y cadena de custodia","El historial de cadena de custodia y los reportes externos se reconstruyen desde los eventos base y se contrastan con un caso de cliente o auditoría.","H05 · R-TRA-02","Historial de cadena de custodia consultable y reporte externo auditable contra el dato fuente."
